암종,남성,여성,총계
갑상선암,6234,22123,28357
폐암,21646,10667,32313
대장암,19633,13525,33158
위암,19562,9893,29455
유방암,123,29391,29514
전립선암,20754,0,20754
간암,12582,3829,16411
자궁경부암,0,3520,3520
